Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-20:24:47|NTUHW|28:ac:9e:95:ac:e1|-78dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~77.7m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|wifiphone|28:ac:9e:95:ac:e3|-77dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~69.3m|179093519336|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:24:47|ntu|28:ac:9e:95:ac:e7|-76dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~26.5m|179093519336|false|[ESS]
2022/09/04-20:24:47|IOT|28:ac:9e:95:ac:ea|-77dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~69.3m|179093519336|false|[ESS]
2022/09/04-20:24:47|BP|28:ac:9e:95:ac:eb|-77dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~69.3m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|NTUH-APP|28:ac:9e:95:ac:ec|-77dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~69.3m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|DIRECT-BB-HP M479fdw Color LJ|3a:22:e2:8c:15:bb|-88dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~245.8m|179093519336|false|[WPA2-PSK-CCMP][WPS][ESS][P2P]
2022/09/04-20:24:47|DIRECT-b3-HP M452 LaserJet|46:1c:a8:80:8c:b3|-75dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~55.0m|179093519336|false|[WPA2-PSK-CCMP][ESS][P2P]
2022/09/04-20:24:47|iTaiwan|6c:b2:ae:2d:40:e0|-58dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~7.9m|179093519336|false|[ESS]
2022/09/04-20:24:47|NTUHW|6c:b2:ae:2d:40:e1|-58dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~7.9m|179093519336|false|[WPA2-PSK-CCMP][ESS]
